,Season,Date,Start (ET),,Visitor/Neutral,PTS,Home/Neutral,HPTS,,Notes
0,1980,"Wed, Apr 2, 1980",,Box Score,San Antonio Spurs,85,Houston Rockets,95,,
1,1980,"Wed, Apr 2, 1980",,Box Score,Washington Bullets,96,Philadelphia 76ers,111,,
2,1980,"Wed, Apr 2, 1980",,Box Score,Kansas City Kings,93,Phoenix Suns,96,,
3,1980,"Wed, Apr 2, 1980",,Box Score,Portland Trail Blazers,110,Seattle SuperSonics,120,,
4,1980,"Fri, Apr 4, 1980",,Box Score,Phoenix Suns,96,Kansas City Kings,106,,
5,1980,"Fri, Apr 4, 1980",,Box Score,Seattle SuperSonics,95,Portland Trail Blazers,105,OT,
6,1980,"Fri, Apr 4, 1980",,Box Score,Houston Rockets,101,San Antonio Spurs,106,,
7,1980,"Fri, Apr 4, 1980",,Box Score,Philadelphia 76ers,112,Washington Bullets,104,,
8,1980,"Sun, Apr 6, 1980",,Box Score,San Antonio Spurs,120,Houston Rockets,141,,
9,1980,"Sun, Apr 6, 1980",,Box Score,Atlanta Hawks,104,Philadelphia 76ers,107,,
10,1980,"Sun, Apr 6, 1980",,Box Score,Kansas City Kings,99,Phoenix Suns,114,,
11,1980,"Sun, Apr 6, 1980",,Box Score,Portland Trail Blazers,86,Seattle SuperSonics,103,,
12,1980,"Tue, Apr 8, 1980",,Box Score,Phoenix Suns,110,Los Angeles Lakers,119,,
13,1980,"Tue, Apr 8, 1980",,Box Score,Milwaukee Bucks,113,Seattle SuperSonics,114,OT,
14,1980,"Wed, Apr 9, 1980",,Box Score,Houston Rockets,101,Boston Celtics,119,,
15,1980,"Wed, Apr 9, 1980",,Box Score,Phoenix Suns,128,Los Angeles Lakers,131,OT,
16,1980,"Wed, Apr 9, 1980",,Box Score,Atlanta Hawks,92,Philadelphia 76ers,99,,
17,1980,"Wed, Apr 9, 1980",,Box Score,Milwaukee Bucks,114,Seattle SuperSonics,112,OT,
18,1980,"Thu, Apr 10, 1980",,Box Score,Philadelphia 76ers,93,Atlanta Hawks,105,,
19,1980,"Fri, Apr 11, 1980",,Box Score,Houston Rockets,75,Boston Celtics,95,,
20,1980,"Fri, Apr 11, 1980",,Box Score,Seattle SuperSonics,91,Milwaukee Bucks,95,,
21,1980,"Fri, Apr 11, 1980",,Box Score,Los Angeles Lakers,108,Phoenix Suns,105,,
22,1980,"Sun, Apr 13, 1980",,Box Score,Philadelphia 76ers,107,Atlanta Hawks,83,,
23,1980,"Sun, Apr 13, 1980",,Box Score,Boston Celtics,100,Houston Rockets,81,,
24,1980,"Sun, Apr 13, 1980",,Box Score,Seattle SuperSonics,112,Milwaukee Bucks,107,,
25,1980,"Sun, Apr 13, 1980",,Box Score,Los Angeles Lakers,101,Phoenix Suns,127,,
26,1980,"Mon, Apr 14, 1980",,Box Score,Boston Celtics,138,Houston Rockets,121,,
27,1980,"Tue, Apr 15, 1980",,Box Score,Phoenix Suns,101,Los Angeles Lakers,126,,
28,1980,"Tue, Apr 15, 1980",,Box Score,Atlanta Hawks,100,Philadelphia 76ers,105,,
29,1980,"Tue, Apr 15, 1980",,Box Score,Milwaukee Bucks,108,Seattle SuperSonics,97,,
30,1980,"Fri, Apr 18, 1980",,Box Score,Philadelphia 76ers,96,Boston Celtics,93,,
31,1980,"Fri, Apr 18, 1980",,Box Score,Seattle SuperSonics,86,Milwaukee Bucks,85,,
32,1980,"Sun, Apr 20, 1980",,Box Score,Philadelphia 76ers,90,Boston Celtics,96,,
33,1980,"Sun, Apr 20, 1980",,Box Score,Milwaukee Bucks,94,Seattle SuperSonics,98,,
34,1980,"Tue, Apr 22, 1980",,Box Score,Seattle SuperSonics,108,Los Angeles Lakers,107,,
35,1980,"Wed, Apr 23, 1980",,Box Score,Seattle SuperSonics,99,Los Angeles Lakers,108,,
36,1980,"Wed, Apr 23, 1980",,Box Score,Boston Celtics,97,Philadelphia 76ers,99,,
37,1980,"Fri, Apr 25, 1980",,Box Score,Boston Celtics,90,Philadelphia 76ers,102,,
38,1980,"Fri, Apr 25, 1980",,Box Score,Los Angeles Lakers,104,Seattle SuperSonics,100,,
39,1980,"Sun, Apr 27, 1980",,Box Score,Philadelphia 76ers,105,Boston Celtics,94,,
40,1980,"Sun, Apr 27, 1980",,Box Score,Los Angeles Lakers,98,Seattle SuperSonics,93,,
41,1980,"Wed, Apr 30, 1980",,Box Score,Seattle SuperSonics,105,Los Angeles Lakers,111,,
42,1980,"Sun, May 4, 1980",,Box Score,Philadelphia 76ers,102,Los Angeles Lakers,109,,
43,1980,"Wed, May 7, 1980",,Box Score,Philadelphia 76ers,107,Los Angeles Lakers,104,,
44,1980,"Sat, May 10, 1980",,Box Score,Los Angeles Lakers,111,Philadelphia 76ers,101,,
45,1980,"Sun, May 11, 1980",,Box Score,Los Angeles Lakers,102,Philadelphia 76ers,105,,
46,1980,"Wed, May 14, 1980",,Box Score,Philadelphia 76ers,103,Los Angeles Lakers,108,,
47,1980,"Fri, May 16, 1980",,Box Score,Los Angeles Lakers,123,Philadelphia 76ers,107,,
48,1981,"Tue, Mar 31, 1981",,Box Score,Chicago Bulls,90,New York Knicks,80,,
49,1981,"Tue, Mar 31, 1981",,Box Score,Indiana Pacers,108,Philadelphia 76ers,124,,
50,1981,"Wed, Apr 1, 1981",,Box Score,Houston Rockets,111,Los Angeles Lakers,107,,
